"Exp","Ngr","DistrVec"
"Study1",2,0.109083440306566
"Study1",2,0.0962519426340144
"Study1",2,0.0978795690034976
"Study1",2,0.0933516324173419
"Study1",2,0.0856340991333022
"Study1",2,0.109876800345598
"Study1",2,0.0808769888542738
"Study1",2,0.126937729734189
"Study1",2,0.11074757379495
"Study1",2,0.0731279844349007
"Study1",2,0.0931258716086182
"Study1",2,0.0884272629074144
"Study1",2,0.102839577278976
"Study1",2,0.0917318631695842
"Study1",2,0.0932765741374705
"Study1",2,0.0827639650046355
"Study1",2,0.111873092524818
"Study1",2,0.10850402916467
"Study1",2,0.1022243545278
"Study1",2,0.113145649017974
"Study1",2,0.105984050083019
"Study1",2,0.084109708909731
"Study1",2,0.095938190732441
"Study1",2,0.0802830866105324
"Study1",2,0.0854786653041548
"Study1",2,0.0843004221487134
"Study1",2,0.110570815266617
"Study1",2,0.0874475710906015
"Study1",2,0.0800985392902651
"Study1",2,0.0880116444648022
"Study1",2,0.100046888220836
"Study1",2,0.10101522747243
"Study1",2,0.112522748633626
"Study1",2,0.0766673697608586
"Study1",2,0.0922023396706499
"Study1",2,0.0870806623919979
"Study1",2,0.088573278880886
"Study1",2,0.0958374631764342
"Study1",2,0.104454456765266
"Study1",2,0.098321240076931
"Study1",2,0.101287882310736
"Study1",2,0.0921435465155023
"Study1",2,0.0996831667783891
"Study1",2,0.09100005375256
"Study1",2,0.0929451300875638
"Study1",2,0.0804730348953777
"Study1",2,0.0946625773834773
"Study1",2,0.106587027412462
"Study1",2,0.092411829570857
"Study1",2,0.0990906777205972
"Study1",2,0.0890154355594534
"Study1",2,0.106968916972009
"Study1",2,0.11256039414475
"Study1",2,0.0874458802222179
"Study1",2,0.0921886535971198
"Study1",2,0.104996079194075
"Study1",2,0.0759761421078223
"Study1",2,0.129299625411086
"Study1",2,0.0863091449561322
"Study1",2,0.0907090526181576
"Study1",2,0.0988337986498253
"Study1",2,0.0963437684138451
"Study1",2,0.0919492573951857
"Study1",2,0.10523802523166
"Study1",2,0.105942348950452
"Study1",2,0.0969671235278102
"Study1",2,0.0867236637972744
"Study1",2,0.097952110650531
"Study1",2,0.098231145450603
"Study1",2,0.104072437172727
"Study1",2,0.102687562319578
"Study1",2,0.0845038856676739
"Study1",2,0.077529359158552
"Study1",2,0.0976779672788929
"Study1",2,0.0957185979206458
"Study1",2,0.0831192372888372
"Study1",2,0.097269358625985
"Study1",2,0.0920571273930273
"Study1",2,0.100977355706338
"Study1",2,0.0840525156476128
"Study1",2,0.0830102465811513
"Study1",2,0.0879100906867719
"Study1",2,0.0904302205127895
"Study1",2,0.0894643754337838
"Study1",2,0.0873069238622295
"Study1",2,0.0870359184325207
"Study1",2,0.0907335645240032
"Study1",2,0.0884781642911952
"Study1",2,0.0901647926278984
"Study1",2,0.0956391888275642
"Study1",2,0.0712854885995254
"Study1",2,0.0993413267181037
"Study1",2,0.0988512274783095
"Study1",2,0.0770550403495956
"Study1",2,0.112446110941744
"Study1",2,0.0806073341562215
"Study1",2,0.0691189708366484
"Study1",2,0.0980992324409913
"Study1",2,0.0982135260045644
"Study1",2,0.0953675338539505
"Study1",2,0.101452693775897
"Study1",2,0.117776257517279
"Study1",2,0.0853540074252907
"Study1",2,0.093152486414531
"Study1",2,0.117407647560256
"Study1",2,0.0847817792929892
"Study1",2,0.0820646464847918
"Study1",2,0.0980720084743385
"Study1",2,0.0898591870855037
"Study1",2,0.0854884226150002
"Study1",2,0.0794632018519748
"Study1",2,0.106202356803472
"Study1",2,0.112343832932132
"Study1",2,0.0911305550748206
"Study1",2,0.0926843178201815
"Study1",2,0.0961819889279352
"Study1",2,0.0868265216755798
"Study1",2,0.0983219238293612
"Study1",2,0.0870157700572592
"Study1",2,0.0964790203358259
"Study1",2,0.0906058469148608
"Study1",2,0.0959282343187709
"Study1",2,0.108258090676516
"Study1",2,0.109593957531544
"Study1",2,0.0946742218409384
"Study1",2,0.101249464123587
"Study1",2,0.0917703544907029
"Study1",2,0.0988680059055412
"Study1",2,0.097916125269733
"Study1",2,0.0810669268996578
"Study1",2,0.0870946446390144
"Study1",2,0.103143509602425
"Study1",2,0.090030745931373
"Study1",2,0.09070660501563
"Study1",2,0.103183052193402
"Study1",2,0.107563633460154
"Study1",2,0.0989081493084597
"Study1",2,0.0949328189889569
"Study1",2,0.0945479421707697
"Study1",2,0.0892178960725726
"Study1",2,0.0817276167873578
"Study1",2,0.0950342278393738
"Study1",2,0.0898173292341185
"Study1",2,0.10858283989979
"Study1",2,0.112855760204862
"Study1",2,0.107119033876134
"Study1",2,0.0947226237312767
"Study1",2,0.0902333863277753
"Study1",2,0.0819801810700484
"Study1",2,0.11493818879292
"Study1",2,0.0899609550303678
"Study1",2,0.0980246175984686
"Study1",2,0.0847748217594274
"Study1",2,0.0855991125056496
"Study1",2,0.0707366933180193
"Study1",2,0.0816413388703653
"Study1",2,0.102729698499608
"Study1",2,0.103055199363447
"Study1",2,0.0878382316582885
"Study1",2,0.103426814401047
"Study1",2,0.0866086370306588
"Study1",2,0.0869599426597801
"Study1",2,0.106661876181718
"Study1",2,0.107813119220456
"Study1",2,0.102924402176162
"Study1",2,0.0987423672187022
"Study1",2,0.0832123343959571
"Study1",2,0.106753583640725
"Study1",2,0.0746694250025506
"Study1",2,0.0889302868883508
"Study1",2,0.0928472988814479
"Study1",2,0.0887150950729438
"Study1",2,0.0860002882901661
"Study1",2,0.0855580360731262
"Study1",2,0.100978932688817
"Study1",2,0.10410277712926
"Study1",2,0.103367885876892
"Study1",2,0.110237579845308
"Study1",2,0.102536732678083
"Study1",2,0.0997845467355418
"Study1",2,0.09312671844305
"Study1",2,0.102672228286523
"Study1",2,0.0975972413138746
"Study1",2,0.105180223837873
"Study1",2,0.0976302892969453
"Study1",2,0.0772696249439459
"Study1",2,0.0827087571605643
"Study1",2,0.0905355586336311
"Study1",2,0.0900977365318451
"Study1",2,0.0804026661795783
"Study1",2,0.0956360336516261
"Study1",2,0.095065590127721
"Study1",2,0.0880525222309539
"Study1",2,0.0981555214798784
"Study1",2,0.0988393596328397
"Study1",2,0.0950943407227887
"Study1",2,0.0785335920183877
"Study1",2,0.0803614299733616
"Study1",2,0.107475026253664
"Study1",2,0.0863016371566569
"Study1",2,0.0913049557998147
"Study1",2,0.0930127459615254
"Study1",2,0.115513180263657
"Study1",2,0.0996170769048121
"Study1",2,0.0839839757374075
"Study1",2,0.0920749084767022
"Study1",2,0.0848665110659176
"Study1",2,0.077207631275151
"Study1",2,0.096648202175479
"Study1",2,0.0929559321957202
"Study1",2,0.100978888186635
"Study1",2,0.0921019977864671
"Study1",2,0.0879454136933169
"Study1",2,0.118241815259557
"Study1",2,0.103459277110484
"Study1",2,0.0922268838634562
"Study1",2,0.102954896676137
"Study1",2,0.100249564253365
"Study1",2,0.0845776910729374
"Study1",2,0.0845876200201872
"Study1",2,0.0948603651343006
"Study1",2,0.0966273019462812
"Study1",2,0.0717985675054648
"Study1",2,0.0999275688082446
"Study1",2,0.0880243046503246
"Study1",2,0.0692658848243414
"Study1",2,0.0849996209946501
"Study1",2,0.0908679013552092
"Study1",2,0.0975127597339089
"Study1",2,0.0913480588558359
"Study1",2,0.107596102546797
"Study1",2,0.0929288326773467
"Study1",2,0.0863382926115663
"Study1",2,0.0819631520670911
"Study1",2,0.085447895384102
"Study1",2,0.109100357914166
"Study1",2,0.0915349485562399
"Study1",2,0.11371501484131
"Study1",2,0.117945405528187
"Study1",2,0.0923320215638836
"Study1",2,0.125446825273833
"Study1",2,0.103528218165805
"Study1",2,0.103374148851217
"Study1",2,0.0967198307705953
"Study1",2,0.090014061028683
"Study1",2,0.0790948384706099
"Study1",2,0.100632637016533
