"numerical_format","Ngrams","AlphaSize","Mhell","SDhell","HellDists","Pval"
"frequency",2,8,0.104730079543392,0.0121084999937914,0.11456972969298,0.207879212078792
"probability",2,8,0.201451654950759,0.0260487572315613,0.173975950281499,0.860913908609139
