n_gram,freqz.x,probz.x,correctness.x,probzSmooth.x,freqz.y,probz.y,correctness.y,probzSmooth.y,oddsR,numerical_format,Ngrams,CountFreq,CountProb,CountNGRAMS,SE,OR,Lower,Upper,Sig,Frequency
FA,11,0.003336366,incorrect,0.003578885,2,0.001501502,correct,0.002161383,1.658186172,frequency,2,3297,1332,56,0.646287861,1.658186172,0.467199055,5.885246029,N,11
FB,23,0.006976039,incorrect,0.007157769,6,0.004504505,correct,0.005043228,1.422306141,frequency,2,3297,1332,56,0.430753193,1.422306141,0.611404408,3.308701627,N,23
FC,57,0.017288444,incorrect,0.017297942,40,0.03003003,correct,0.029538905,0.578304156,frequency,2,3297,1332,56,0.206585343,0.578304156,0.38575123,0.866972471,Y,57
FD,7,0.002123142,incorrect,0.002385923,6,0.004504505,correct,0.005043228,0.471834294,frequency,2,3297,1332,56,0.518536604,0.471834294,0.170766326,1.303697316,N,7
FE,97,0.029420685,incorrect,0.029227557,58,0.043543544,correct,0.042507205,0.6781848,frequency,2,3297,1332,56,0.167966959,0.6781848,0.487945919,0.942593442,Y,97
FG,181,0.054898392,incorrect,0.054279749,67,0.0503003,correct,0.048991354,1.114141021,frequency,2,3297,1332,56,0.145853768,1.114141021,0.837118483,1.482836945,N,181
FH,27,0.008189263,incorrect,0.008350731,13,0.00975976,correct,0.010086455,0.826466165,frequency,2,3297,1332,56,0.328894225,0.826466165,0.433775144,1.574655284,N,27
GA,10,0.00303306,incorrect,0.003280644,2,0.001501502,correct,0.002161383,1.519549172,frequency,2,3297,1332,56,0.652122433,1.519549172,0.423269463,5.455223897,N,10
GB,9,0.002729754,incorrect,0.002982404,3,0.002252252,correct,0.002881844,1.034998504,frequency,2,3297,1332,56,0.592470823,1.034998504,0.324054739,3.305681961,N,9
GC,60,0.018198362,incorrect,0.018192663,20,0.015015015,correct,0.015129683,1.206199734,frequency,2,3297,1332,56,0.255044674,1.206199734,0.731679385,1.988463565,N,60
GD,4,0.001213224,incorrect,0.001491202,1,0.000750751,correct,0.001440922,1.034946237,frequency,2,3297,1332,56,0.837269483,1.034946237,0.200548592,5.340918628,N,4
GE,6,0.001819836,incorrect,0.002087683,6,0.004504505,correct,0.005043228,0.41273162,frequency,2,3297,1332,56,0.535478536,0.41273162,0.144497126,1.178898117,N,6
GF,104,0.031543828,incorrect,0.03131524,46,0.034534535,correct,0.033861671,0.922367938,frequency,2,3297,1332,56,0.178476887,0.922367938,0.650102154,1.30865989,N,104
GH,64,0.019411586,incorrect,0.019385625,20,0.015015015,correct,0.015129683,1.286858417,frequency,2,3297,1332,56,0.25305993,1.286858417,0.783649402,2.113195751,N,64
HA,97,0.029420685,incorrect,0.029227557,31,0.023273273,correct,0.023054755,1.275806452,frequency,2,3297,1332,56,0.206152285,1.275806452,0.851734868,1.911019688,N,97
HB,30,0.009099181,incorrect,0.009245452,10,0.007507508,correct,0.007925072,1.168162662,frequency,2,3297,1332,56,0.352412252,1.168162662,0.585496032,2.330680195,N,30
HC,61,0.018501668,incorrect,0.018490904,24,0.018018018,correct,0.018011527,1.027116378,frequency,2,3297,1332,56,0.239095309,1.027116378,0.642832193,1.64112511,N,61
HD,19,0.005762815,incorrect,0.005964808,3,0.002252252,correct,0.002881844,2.076207621,frequency,2,3297,1332,56,0.548655241,2.076207621,0.708346922,6.08548996,N,19
HE,11,0.003336366,incorrect,0.003578885,1,0.000750751,correct,0.001440922,2.489075127,frequency,2,3297,1332,56,0.764430602,2.489075127,0.556341606,11.13613456,N,11
HF,13,0.003942978,incorrect,0.004175365,8,0.006006006,correct,0.00648415,0.642441183,frequency,2,3297,1332,56,0.428444088,0.642441183,0.277417851,1.487758169,N,13
HG,22,0.006672733,incorrect,0.006859529,12,0.009009009,correct,0.009365994,0.730538231,frequency,2,3297,1332,56,0.348466513,0.730538231,0.368996515,1.446317472,N,22
AB,213,0.071838111,incorrect,0.070837471,24,0.075709779,correct,0.067024129,1.061232633,probability,2,2965,317,56,0.218866883,1.061232633,0.691046615,1.629723201,N,213
AC,34,0.011467116,incorrect,0.011585568,5,0.015772871,correct,0.016085791,0.71695691,probability,2,2965,317,56,0.445306397,0.71695691,0.299530187,1.716111542,N,34
AD,5,0.001686341,incorrect,0.001986097,0,0,correct,0.002680965,0.740298507,probability,2,2965,317,56,1.081520464,0.740298507,0.088878777,6.166172613,N,5
