"Experiment","Ngrams","AlphaSize","Mhell","SDhell","HellDists","Pval"
"Study1",2,8,0.0944039323943636,0.00993594704885304,0.122750855021767,0.004999500049995
"Study2",2,8,0.0883196272303734,0.0100308864348562,0.119282227332416,0.0022997700229977
