"Exp","Ngr","DistrVec"
"frequency",2,0.0960020867165102
"frequency",2,0.105738426535884
"frequency",2,0.126744914256023
"frequency",2,0.0981332504033306
"frequency",2,0.109227161117956
"frequency",2,0.109538834489771
"frequency",2,0.0897019107345671
"frequency",2,0.106328244196908
"frequency",2,0.0952684893733654
"frequency",2,0.0991526482244203
"frequency",2,0.120908231220519
"frequency",2,0.100752942622515
"frequency",2,0.0903034643041792
"frequency",2,0.0948822226299976
"frequency",2,0.0966081974385426
"frequency",2,0.111769159929528
"frequency",2,0.0987806638284315
"frequency",2,0.0962843362441791
"frequency",2,0.114196911714724
"frequency",2,0.10712893716621
"frequency",2,0.100630349760615
"frequency",2,0.0971700639782378
"frequency",2,0.107545115398177
"frequency",2,0.119601668936255
"frequency",2,0.109538859883651
"frequency",2,0.113027690016015
"frequency",2,0.118151415204054
"frequency",2,0.107499195042277
"frequency",2,0.108126698603078
"frequency",2,0.107676424563322
"frequency",2,0.0925867619096145
"frequency",2,0.0736185841069713
"frequency",2,0.0866012906901494
"frequency",2,0.0847541856732412
"frequency",2,0.109470569293446
"frequency",2,0.0981186254629385
"frequency",2,0.119840851189481
"frequency",2,0.107285762219371
"frequency",2,0.091022193969412
"frequency",2,0.103515298106559
"frequency",2,0.102009997396426
"frequency",2,0.102299840482814
"frequency",2,0.10523620656227
"frequency",2,0.0803175397477192
"frequency",2,0.094026691843222
"frequency",2,0.0967863352528706
"frequency",2,0.120242320058925
"frequency",2,0.10577992295541
"frequency",2,0.103965813668928
"frequency",2,0.093693149292082
"frequency",2,0.117151319030804
"frequency",2,0.0929612025302236
"frequency",2,0.0925475575999444
"frequency",2,0.0957973383664583
"frequency",2,0.0974912306624537
"frequency",2,0.117184505296967
"frequency",2,0.115779256846645
"frequency",2,0.100176587454156
"frequency",2,0.0929336372735301
"frequency",2,0.123978724105193
"frequency",2,0.103451125661131
"frequency",2,0.121116453430682
"frequency",2,0.117894079496018
"frequency",2,0.107292233961359
"frequency",2,0.1068466159757
"frequency",2,0.0995021186676382
"frequency",2,0.10513956555303
"frequency",2,0.0903425148020767
"frequency",2,0.110020158304314
"frequency",2,0.0988792941755356
"frequency",2,0.108268608133264
"frequency",2,0.104538992521911
"frequency",2,0.111682736813442
"frequency",2,0.129924242036541
